County,Population,Population-growth,Population-density,Income-per-capita,White-not-hispanic-population-percentage,Percent-of-people-25-years-and-over-with-bachelors-degree-or-higher,class
"Boone, arkansas",37196,0.8,62.5,22160,94.5,15.4,Trump
"Bradley, arkansas",11148,-3.1,17.7,19386,56.8,10.8,Trump
"Calhoun, arkansas",5202,-3.1,8.5,17763,73,7.4,Trump
"Carroll, arkansas",27744,1.1,43.6,20637,81.4,17.3,Trump
"Chicot, arkansas",11180,-5.3,18.3,16538,39.3,12.6,Clinton
"Clark, arkansas",22576,-1.8,26.6,17960,69.6,21.4,Trump
"Clay, arkansas",15118,-6,25.2,18509,96.1,9.5,Trump
"Cleburne, arkansas",25634,-1.3,46.9,23044,95.2,16.8,Trump
"Cleveland, arkansas",8449,-2.8,14.5,20622,84.8,13.8,Trump
"Columbia, arkansas",23933,-2.5,32.1,19439,59.4,20.3,Trump
"Conway, arkansas",21083,-0.9,38.5,20040,81.7,14.7,Trump
"Craighead, arkansas",102518,6.3,136.4,23138,78.7,24.4,Trump
"Crawford, arkansas",61697,-0.4,104.4,19477,85.8,14.3,Trump
"Crittenden, arkansas",49548,-2.7,83.5,19665,44.6,13.9,Clinton
"Cross, arkansas",17227,-3.6,29,18701,73.6,11.4,Trump
"Dallas, arkansas",7755,-4.4,12.2,16838,53.5,10.2,Trump
"Desha, arkansas",12264,-5.7,16.9,19822,46.7,12.7,Clinton
"Drew, arkansas",18622,0.6,22.3,17057,67.1,19.1,Trump
"Faulkner, arkansas",120768,6.7,174.8,24401,81.4,27.2,Trump
"Franklin, arkansas",17805,-1.8,29.8,19135,92.6,12.4,Trump
"Fulton, arkansas",12125,-1,19.8,19326,96,10,Trump
"Garland, arkansas",97322,1.4,141.7,23170,83,20.9,Trump
"Grant, arkansas",18144,1.6,28.3,23239,93,17.6,Trump
"Greene, arkansas",43694,3.8,72.9,19652,94.7,14.7,Trump
"Hempstead, arkansas",22327,-1.2,31.1,17376,55.8,14.1,Trump
"Hot Spring, arkansas",33368,1.4,53.5,19286,82.9,12.3,Trump
"Howard, arkansas",13500,-2.1,23.4,18707,66,12,Trump
"Independence, arkansas",36959,0.9,48,20289,89,14.4,Trump
"Izard, arkansas",13486,-1.5,23.6,18040,94.3,11.7,Trump
"Jackson, arkansas",17534,-2.6,28.4,15609,77.7,8.8,Trump
"Jefferson, arkansas",72297,-6.6,88.9,19353,40.5,17.5,Clinton
"Johnson, arkansas",26005,1.8,38.7,19366,81.5,14.7,Trump
"Lafayette, arkansas",7111,-7,14.5,17212,59.8,10.7,Trump
"Lawrence, arkansas",16931,-2.8,29.6,15971,96.2,10.4,Trump
"Lee, arkansas",9860,-5.4,17.3,12529,41.2,7.1,Clinton
"Lincoln, arkansas",13970,-1.2,25.2,15023,64.9,7.9,Trump
