County,Population,Population-growth,Population-density,Income-per-capita,White-not-hispanic-population-percentage,Percent-of-people-25-years-and-over-with-bachelors-degree-or-higher,class
"Carroll, georgia",114093,3.2,221.5,21227,72.2,18.3,Trump
"Catoosa, georgia",65621,2.6,394.3,21690,91.6,17.5,Trump
"Charlton, georgia",12897,6,15.7,17102,62,9.4,Trump
"Chatham, georgia",283379,6.9,621.7,25093,50,31.3,Clinton
"Chattahoochee, georgia",11837,5.1,45.3,20042,61,27.5,Trump
"Chattooga, georgia",24939,-4.1,83,16045,82.9,7.7,Trump
"Cherokee, georgia",230985,7.8,508.3,29615,80.4,34.2,Trump
"Clarke, georgia",120938,3.6,979.1,19295,56.6,39.5,Clinton
"Clay, georgia",3102,-2.5,16.3,12982,37.6,7.9,Clinton
"Clayton, georgia",267542,3.1,1832.5,17950,14,18,Clinton
"Clinch, georgia",6831,0.5,8.5,17815,66.4,12.5,Trump
"Cobb, georgia",730981,6.2,2026.4,33069,54.8,43.7,Clinton
"Coffee, georgia",42811,1.1,73.7,17031,59.7,12.9,Trump
"Colquitt, georgia",46102,1.3,83.6,17025,57.4,13.1,Trump
"Columbia, georgia",139257,12.3,427.6,30949,71.2,34.1,Trump
"Cook, georgia",17214,0,75.8,18592,64.7,12.4,Trump
"Coweta, georgia",135571,6.5,288.8,26757,72.1,26.9,Trump
"Crawford, georgia",12387,-1.9,38.9,20556,73.7,13,Trump
"Crisp, georgia",22934,-2.2,86,18185,51.1,15.5,Trump
"Dade, georgia",16389,-1.5,95.6,21690,94,17,Trump
"Dawson, georgia",22957,2.8,105.9,27330,93,24.4,Trump
"Decatur, georgia",27220,-2.2,46.6,18059,51.8,14.7,Trump
"DeKalb, georgia",722161,4.4,2585.7,28810,30,39.7,Clinton
"Dodge, georgia",20976,-3.8,44,18114,65.5,15.2,Trump
"Dooly, georgia",14188,-4.9,38.1,14510,42.7,10.1,Trump
"Dougherty, georgia",92407,-2.3,287.7,18619,27.8,17.8,Clinton
"Douglas, georgia",138776,4.9,661.8,23626,46.2,24.4,Clinton
"Early, georgia",10491,-4.7,21.5,17579,47.1,12.9,Trump
"Echols, georgia",4003,-0.8,9.7,15861,63.2,5.7,Trump
"Effingham, georgia",55423,6.1,109.4,24824,80.2,16.8,Trump
"Elbert, georgia",19438,-3.6,57.4,18835,63.7,11.3,Trump
"Emanuel, georgia",22755,0.7,33.2,17064,59.9,11.6,Trump
"Evans, georgia",10898,-0.9,60.2,18998,56.7,14.1,Trump
"Fannin, georgia",23753,0.3,61.2,19164,95.5,14.4,Trump
"Fayette, georgia",109664,2.9,548.3,35344,65.9,42.6,Trump
"Floyd, georgia",96063,-0.3,188.9,20500,72.5,18.1,Trump
"Forsyth, georgia",204302,16.4,783.5,34582,77.7,43.8,Trump
"Franklin, georgia",22264,0.8,84.5,18234,84.4,13,Trump
"Fulton, georgia",996319,8.2,1748,36757,40.7,48.2,Clinton
"Gilmer, georgia",28829,1.9,66.3,21317,87.1,16.4,Trump
"Glascock, georgia",3053,-0.9,21.4,17984,87.3,9.6,Trump
"Glynn, georgia",82175,3.2,189.7,26724,64.2,26.1,Trump
"Gordon, georgia",56047,1.6,155.1,19177,78.9,14.2,Trump
"Grady, georgia",25359,1.4,55,15734,58.9,11.3,Trump
"Greene, georgia",16490,3.1,41.3,27828,55.8,21.4,Trump
"Gwinnett, georgia",877922,9,1871.2,25932,41.6,33.9,Clinton
"Habersham, georgia",43752,1.7,155.5,18910,78.7,17.1,Trump
"Hall, georgia",190761,6.2,457.5,23645,62.3,22.8,Trump
"Hancock, georgia",8509,-9.5,20,12381,24.3,9.9,Clinton
"Haralson, georgia",28641,-0.5,102,19789,91.6,14.1,Trump
"Harris, georgia",32876,2.7,69,31482,77.6,27.3,Trump
"Hart, georgia",25377,0.7,108.5,20371,75.6,15.5,Trump
"Heard, georgia",11603,-2,40,18964,84.9,8.2,Trump
"Henry, georgia",213869,4.9,633,25299,49.8,26.1,Clinton
"Houston, georgia",149111,6.6,372.5,25195,58.9,24,Trump
"Irwin, georgia",9104,-4.6,26.9,18207,68.4,10.3,Trump
"Jackson, georgia",61870,2.3,178.1,23247,83,19.5,Trump
"Jasper, georgia",13432,-3.4,37.8,21297,72,13.3,Trump
"Jeff Davis, georgia",14859,-1.4,45.6,17684,72.4,9.6,Trump
"Jefferson, georgia",16272,-3.9,32.2,14757,41.6,8.8,Clinton
"Jenkins, georgia",9125,9.4,24,17565,51.1,13.1,Trump
"Johnson, georgia",9701,-2.8,32.9,16807,62.1,11.5,Trump
"Jones, georgia",28787,0.4,72.8,24485,72.3,17.8,Trump
"Lamar, georgia",18207,-0.6,99.8,18800,64.7,14.2,Trump
"Lanier, georgia",10373,3,54.4,17264,68.2,12,Trump
"Laurens, georgia",47851,-1.2,60,18625,59.3,15,Trump
"Lee, georgia",29191,3.2,79.5,26357,73.6,20.5,Trump
"Liberty, georgia",65198,2.7,129.5,20791,42.7,20.2,Clinton
"Lincoln, georgia",7622,-4.7,38,20641,65.5,11.4,Trump
"Long, georgia",17113,18.4,36.1,17158,59,14,Trump
"Lowndes, georgia",113523,3.9,220.2,18897,55,23.1,Trump
"Lumpkin, georgia",31176,4,105.9,20908,90.9,25.4,Trump
"Macon, georgia",13792,-6.4,36.8,13865,33.9,10.1,Clinton
"Madison, georgia",28312,0.7,99.6,19939,84.4,14.9,Trump
"Marion, georgia",8797,0.6,23.9,17479,59.2,10.6,Trump
"McDuffie, georgia",21370,-2.3,85,17922,55.2,13.7,Trump
"McIntosh, georgia",14214,-0.8,33.8,21484,61.4,15.8,Trump
"Meriwether, georgia",21198,-3.6,43.9,18821,57.1,8.9,Trump
"Miller, georgia",5958,-2.8,21.7,19674,69,11.9,Trump
"Mitchell, georgia",22771,-3.1,45.9,15694,46.4,9.6,Trump
"Monroe, georgia",27051,2.2,66.8,22888,72.4,18.7,Trump
"Montgomery, georgia",8991,-1.4,38.1,16460,66.6,15.5,Trump
"Morgan, georgia",17956,0.5,51.4,25933,72,22.7,Trump
"Murray, georgia",39410,-0.6,115,16449,83.7,9.6,Trump
"Muscogee, georgia",200887,5.4,877.5,22856,42.9,22.6,Clinton
"Newton, georgia",103675,3.7,367.3,21484,50.6,19.4,Clinton
"Oconee, georgia",35093,6.9,178,33801,85.4,43.1,Trump
"Oglethorpe, georgia",14673,-1.5,33.9,20493,76.1,18,Trump
"Paulding, georgia",148987,4.7,455.8,24168,74.4,23.4,Trump
"Peach, georgia",26922,-2.8,184.3,19431,45.3,19.2,Trump
"Pickens, georgia",29997,2,126.8,26686,93.6,22.5,Trump
"Pierce, georgia",18991,1.2,59.3,20001,83.8,11.8,Trump
"Pike, georgia",17784,-0.5,82.7,22191,86,17,Trump
"Polk, georgia",41133,-0.8,133.6,18336,72.3,13.1,Trump
"Pulaski, georgia",11483,-4.3,48.2,17781,63,9.6,Trump
"Putnam, georgia",21192,-0.1,61.6,26321,65.1,18.7,Trump
"Quitman, georgia",2315,-7.9,16.6,14201,50.3,3.2,Trump
"Rabun, georgia",16243,-0.2,44,22260,88,26.6,Trump
"Randolph, georgia",7313,-5.3,18,18094,36.7,17.4,Clinton
"Richmond, georgia",201368,0.4,618.4,20526,36.8,20.5,Clinton
"Rockdale, georgia",87754,3,656.5,23461,37.8,26,Clinton
"Schley, georgia",5163,3.1,30,19037,72.3,14.2,Trump
"Screven, georgia",14085,-3.5,22.6,18640,54.7,13,Trump
"Seminole, georgia",8686,-0.5,37.1,17641,62.4,12.2,Trump
"Spalding, georgia",63988,-0.1,326.1,19783,60.1,14.8,Trump
"Stephens, georgia",25480,-2.7,146.1,18557,83.2,14.2,Trump
"Stewart, georgia",5744,-5.2,13.2,13238,27.7,10,Clinton
"Sumter, georgia",31232,-4.8,68,17879,40.5,18.5,Clinton
"Talbot, georgia",6390,-6.9,17.5,16993,39.7,12.3,Clinton
"Taliaferro, georgia",1693,-1.4,8.8,14381,36.1,9.3,Clinton
"Tattnall, georgia",25224,-1.2,53.2,15280,58.4,11.6,Trump
"Taylor, georgia",8442,-5.2,23.6,17078,58.4,10.1,Trump
"Telfair, georgia",16518,0.1,37.7,12489,50.1,10.9,Trump
"Terrell, georgia",9132,-3.9,27.8,16836,36.1,8.7,Clinton
"Thomas, georgia",44959,0.5,82.1,19983,57.9,18.1,Trump
"Tift, georgia",40704,1.5,154.9,18933,56.7,16,Trump
"Toombs, georgia",27282,0.2,74.8,18716,61.2,15.2,Trump
"Towns, georgia",11098,6,62.9,20419,95.1,22.7,Trump
"Treutlen, georgia",6778,-1.6,34.5,19410,63.6,12.3,Trump
"Troup, georgia",69469,3.6,161.9,21443,58.5,18.6,Trump
"Turner, georgia",8153,-8.7,31.3,17609,55,9.8,Trump
"Twiggs, georgia",8320,-7.8,25.2,17952,55.3,10.8,Trump
"Union, georgia",21984,2.9,66.3,22156,94.6,19.6,Trump
"Upson, georgia",26256,-3.3,84,17978,68,11.4,Trump
"Walker, georgia",68218,-0.8,154,20865,91.7,14,Trump
"Walton, georgia",87615,4.6,257.2,22824,76.9,18.4,Trump
"Ware, georgia",35515,-2.2,40.7,18842,64.5,13.9,Trump
"Warren, georgia",5520,-5.4,20.5,17884,37.6,7.3,Clinton
"Washington, georgia",20635,-2.6,31.2,17515,44.1,11.1,Clinton
"Wayne, georgia",29949,-0.5,46.9,17270,71.2,11.4,Trump
"Webster, georgia",2649,-5.4,13.4,19082,53.3,11.2,Trump
"Wheeler, georgia",7995,7.7,25.1,8948,56.3,8.5,Trump
"White, georgia",27970,3,112.8,22059,92.4,19.3,Trump
"Whitfield, georgia",103542,0.9,353.2,19497,60.6,14,Trump
"Wilcox, georgia",8847,-4.4,24.5,13228,58.9,8.6,Trump
"Wilkes, georgia",9940,-6.2,22.6,17120,52.1,14.5,Trump
"Wilkinson, georgia",9326,-2.5,21.4,17228,57.6,8.2,Trump
"Worth, georgia",20940,-3.4,38,18551,67.5,8.1,Trump
"Hawaii, hawaii",194190,4.9,45.9,24635,30.7,25.6,Clinton
"Honolulu, hawaii",991788,4,1586.7,30361,19.7,32.1,Clinton
"Kauai, hawaii",70475,5,108.2,26658,30.3,25.1,Clinton
"Maui, hawaii",163019,5.3,133.3,29517,31.5,25.7,Clinton
"Ada, idaho",426236,8.6,372.8,27452,85.8,36,Trump
"Adams, idaho",3861,-2.9,2.9,21555,93.7,21.9,Trump
"Bannock, idaho",83347,0.6,74.5,21327,85.6,26.8,Trump
"Bear Lake, idaho",5957,-0.5,6.1,21853,93.6,16.1,Trump
"Benewah, idaho",9118,-1.8,12,20198,84.6,13.4,Trump
"Bingham, idaho",45269,-0.7,21.8,18872,74.7,17.3,Trump
"Blaine, idaho",21482,0.5,8.1,35524,77.6,44.7,Clinton
"Boise, idaho",6824,-2.9,3.7,24324,92.4,24.1,Trump
"Bonner, idaho",41585,1.7,23.6,23221,93.7,21.1,Trump
"Bonneville, idaho",108623,4.1,55.9,22657,83.9,26,Trump
"Boundary, idaho",10979,0.1,8.6,19877,91.3,15.4,Trump
"Butte, idaho",2622,-9.4,1.3,20995,91.2,17.9,Trump
"Camas, idaho",1039,-7,1,21830,87.9,22.3,Trump
"Canyon, idaho",203143,7.5,321.6,17755,71.6,16.8,Trump
"Caribou, idaho",6837,-1.8,3.9,23586,92.2,17.5,Trump
"Cassia, idaho",23540,2.5,8.9,17801,71.4,15.6,Trump
"Clark, idaho",867,-11.7,0.6,20032,54.4,11.4,Trump
"Clearwater, idaho",8562,-2.3,3.6,20256,91.4,15.5,Trump
"Custer, idaho",4140,-5.2,0.9,23965,93.1,26.3,Trump
"Elmore, idaho",26094,-3.5,8.8,20646,74.4,16.9,Trump
"Franklin, idaho",13021,1.8,19.3,17620,91.3,17.4,Trump
"Fremont, idaho",12867,-2.8,7.1,19475,85.1,19.7,Trump
"Gem, idaho",16866,0.9,29.8,20250,88,15.8,Trump
"Gooding, idaho",15064,-2.6,21.2,18373,68.5,12.1,Trump
"Idaho, idaho",16215,-0.3,1.9,19168,91.8,14.8,Trump
"Jefferson, idaho",27021,3.4,23.9,19598,87.2,22,Trump
"Jerome, idaho",22818,2,37.5,17182,63.9,13.4,Trump
"Kootenai, idaho",147326,6.4,111.3,24685,91.3,23.3,Trump
"Latah, idaho",38411,3.1,34.6,22322,90.3,44.1,Clinton
"Lemhi, idaho",7726,-2.6,1.7,23998,93.8,23.8,Trump
"Lewis, idaho",3838,0.4,8,19910,86.4,16.2,Trump
"Lincoln, idaho",5316,2.1,4.3,16530,68.7,11.8,Trump
"Madison, idaho",38038,1.3,80,15133,89.8,33.7,Trump
"Minidoka, idaho",20323,1.3,26.5,19597,64.3,9.9,Trump
"Nez Perce, idaho",40007,1.9,46.3,24257,87.9,21.1,Trump
"Oneida, idaho",4184,-2.4,3.6,18920,94.7,13.2,Trump
"Owyhee, idaho",11353,-1.5,1.5,15945,68.8,8.2,Trump
"Payette, idaho",22836,0.9,55.6,19165,79.5,16.4,Trump
"Power, idaho",7617,-2.6,5.6,17684,64.6,15.9,Trump
"Shoshone, idaho",12390,-2.9,4.9,20487,92.3,13.5,Trump
"Teton, idaho",10341,1.7,22.6,22436,80.9,34.4,Trump
"Twin Falls, idaho",80914,4.8,40.2,20588,81.5,16.3,Trump
"Valley, idaho",9826,-0.4,2.7,25785,93.4,34.3,Trump
"Washington, idaho",10021,-1.7,7,20380,79.3,16.7,Trump
"Adams, illinois",66988,-0.2,78.5,24217,92.6,21.3,Trump
"Alexander, illinois",7492,-9.1,35,13619,59,8.4,Trump
"Bond, illinois",17269,-2.8,46.7,23195,88.1,19.1,Trump
"Boone, illinois",53869,-0.6,193,25888,74.8,19.3,Trump
"Brown, illinois",6832,-1.5,22.7,20555,74.2,12.2,Trump
"Bureau, illinois",33840,-3.3,40.2,26705,89,17.4,Trump
"Calhoun, illinois",4956,-2.6,20,26924,97.8,14.4,Trump
"Carroll, illinois",14715,-4.4,34.6,27118,93.8,15.1,Trump
"Cass, illinois",13156,-3.5,36.3,22257,76.8,13,Trump
"Champaign, illinois",207133,3,201.8,25713,69.9,42.4,Clinton
"Christian, illinois",33892,-2.6,49.1,23915,95.2,13.5,Trump
"Clark, illinois",16180,-0.9,32.6,24296,96.9,17.6,Trump
"Clay, illinois",13520,-2.1,29.5,22279,96.3,14,Trump
"Clinton, illinois",37857,0.3,79.7,27802,91.7,20.3,Trump
"Coles, illinois",53320,-1,106,21970,91.3,24.2,Trump
"Cook, illinois",5246456,1,5495.1,30183,43.4,34.7,Clinton
"Crawford, illinois",19393,-2.1,44.7,25214,91.6,17.1,Trump
"Cumberland, illinois",10833,-1.9,31.9,22952,97.1,13.8,Trump
"De Witt, illinois",16284,-1.7,41.7,26704,95.2,16.8,Trump
"DeKalb, illinois",105462,0.3,166.6,23696,78.4,29.8,Clinton
"Douglas, illinois",19889,-0.5,48,23732,90.9,16.2,Trump
"DuPage, illinois",932708,1.7,2799.8,38570,68.8,46.3,Clinton
"Edgar, illinois",17841,-4,29.8,23368,97.3,18.2,Trump
"Edwards, illinois",6617,-1.5,30.2,20898,96.9,10.5,Trump
"Effingham, illinois",34320,0.2,71.5,27051,96.6,20,Trump
"Fayette, illinois",21870,-1.2,30.9,21523,92.4,13.1,Trump
"Ford, illinois",13688,-2.8,29,25448,94.8,16.3,Trump
"Franklin, illinois",39411,-1.4,96.8,20394,96.2,13.1,Trump
"Fulton, illinois",36007,-2.9,42.8,22318,92.3,14.5,Trump
"Gallatin, illinois",5291,-5.3,17.3,23862,95.8,12,Trump
"Greene, illinois",13434,-3.3,25.6,22307,97,12.9,Trump
"Grundy, illinois",50425,0.7,119.8,28725,87.9,20.2,Trump
"Hamilton, illinois",8296,-1.9,19.5,21960,96.7,15.7,Trump
"Hancock, illinois",18564,-2.8,24.1,23714,96.9,18.4,Trump
"Hardin, illinois",4129,-4.4,24.3,22366,95.6,12.2,Trump
"Henderson, illinois",6916,-5.6,19.3,25902,96.7,15.7,Trump
"Henry, illinois",49635,-1.7,61.3,27117,91,19.8,Trump
"Iroquois, illinois",28879,-2.8,26.6,25098,91.1,14.6,Trump
"Jackson, illinois",59677,-0.9,103.1,20527,75,35.1,Clinton
"Jasper, illinois",9623,-0.8,19.6,24174,97.3,16.2,Trump
"Jefferson, illinois",38534,-0.7,68,22620,86.6,15.9,Trump
"Jersey, illinois",22571,-1.8,62.2,25467,96.5,16.2,Trump
"Jo Daviess, illinois",22254,-1.9,37.7,29675,94.9,23.7,Trump
"Johnson, illinois",12601,0.2,36.6,18763,87.4,15.1,Trump
"Kane, illinois",527306,2.3,990.8,30082,58.4,31.7,Clinton
"Kankakee, illinois",111375,-1.8,167.7,23779,72.8,17.1,Trump
"Kendall, illinois",121350,5.8,358.2,31276,72.9,34.2,Trump
"Knox, illinois",52069,-1.6,73.9,22093,84.2,17,Trump
"Lake, illinois",705186,0.3,1585.6,38018,64,41.9,Clinton
"LaSalle, illinois",111241,-2.4,100.4,25709,87.2,15.9,Trump
"Lawrence, illinois",16519,-2.3,45.2,14147,85.4,8.4,Trump
"Lee, illinois",34735,-3.6,49.7,25409,87.2,16,Trump
"Livingston, illinois",37903,-2.7,37.3,24952,88.5,14.5,Trump
"Logan, illinois",29746,-1.8,49,21445,86.9,16.2,Trump
"Macon, illinois",108350,-2.2,190.8,26232,77.4,22.3,Trump
"Macoupin, illinois",46453,-2.7,55.4,24658,96.3,15.9,Trump
"Madison, illinois",266560,-1,376.3,27407,86.1,24.4,Trump
"Marion, illinois",38571,-2.2,68.9,21887,91.9,13.9,Trump
"Marshall, illinois",12014,-5,32.7,25975,94.9,17,Trump
"Mason, illinois",13898,-5.2,27.2,23199,96.7,14.2,Trump
"Massac, illinois",14905,-3.4,65,22047,89.3,16.7,Trump
"McDonough, illinois",31880,-2.2,55.3,20042,88.2,33.3,Trump
"McHenry, illinois",307283,-0.5,511.9,32341,82.7,32.4,Trump
"McLean, illinois",174061,2.6,143.3,30460,80.5,42.8,Trump
"Menard, illinois",12570,-1.1,40.4,28330,96,22.1,Trump
"Mercer, illinois",15945,-3,29.3,26620,96.2,14.7,Trump
"Monroe, illinois",33722,2.3,85.6,31758,96.7,25.9,Trump
"Montgomery, illinois",29359,-2.5,42.8,19917,93.7,12.1,Trump
"Morgan, illinois",34929,-1.7,62.5,24337,89.4,20.7,Trump
"Moultrie, illinois",14837,-0.1,44.2,23786,97.3,14.1,Trump
"Ogle, illinois",52085,-2.6,70.5,26635,88.1,19.9,Trump
"Peoria, illinois",187319,0.4,301.2,28438,71.5,28.9,Clinton
"Perry, illinois",21672,-3,50.6,19716,86.2,14.3,Trump
"Piatt, illinois",16431,-1.8,38.1,31190,96.7,26.5,Trump
"Pike, illinois",16022,-2.5,19.8,21344,95.7,13.5,Trump
"Pope, illinois",4276,-4.3,12.1,20448,90,13.5,Trump
"Pulaski, illinois",5815,-5.6,30.9,19867,63.4,12,Trump
"Putnam, illinois",5814,-3.2,37.5,27074,92.8,14.1,Trump
"Randolph, illinois",32869,-1.8,58.2,21976,86,11.8,Trump
"Richland, illinois",16061,-1.1,45.1,23621,95.9,20.4,Trump
"Rock Island, illinois",146063,-1,345,26455,74.2,21.8,Clinton
"Saline, illinois",24612,-1.2,65.6,21596,91.8,14.6,Trump
"Sangamon, illinois",198997,0.8,227.4,29974,81.7,32.5,Trump
"Schuyler, illinois",7330,-2.8,17.3,23656,94,18.6,Trump
"Scott, illinois",5204,-2.8,21.3,24471,97.2,13.7,Trump
"Shelby, illinois",22048,-1.4,29.5,23069,97.8,14.4,Trump
"St. Clair, illinois",265729,-1.6,410.6,26234,62.6,25.3,Clinton
"Stark, illinois",5813,-3,20.8,26843,96.5,16.7,Trump
"Stephenson, illinois",46435,-2.7,84.5,23350,84.2,17.9,Trump
"Tazewell, illinois",135707,0.2,208.6,28037,94.4,23.6,Trump
"Union, illinois",17447,-2,43.1,21719,91.7,20.1,Trump
"Vermilion, illinois",79728,-2.3,90.9,21225,79.5,13.9,Trump
"Wabash, illinois",11549,-3.3,53.5,24096,95.9,16.8,Trump
"Warren, illinois",17874,0.9,32.6,21832,86,20.9,Trump
"Washington, illinois",14337,-2.6,26.2,26325,96.3,20.5,Trump
"Wayne, illinois",16543,-1.3,23.5,22526,96.6,11.8,Trump
"White, illinois",14374,-2,29.6,25375,97,14.3,Trump
"Whiteside, illinois",56876,-2.8,85.5,24525,85.2,16.2,Trump
"Will, illinois",685419,1.2,809.6,30377,65.9,32.3,Clinton
"Williamson, illinois",67008,1,157.9,23605,90.9,22.5,Trump
"Winnebago, illinois",288542,-2.3,575.2,24495,71.3,21.2,Trump
"Woodford, illinois",39187,1.4,73.3,30926,95.9,27.6,Trump
"Adams, indiana",34791,1.2,101.4,20160,94.2,14.7,Trump
"Allen, indiana",365918,3,540.6,25279,75.5,26.3,Trump
"Bartholomew, indiana",80217,4.5,188.7,27359,85,26.5,Trump
"Benton, indiana",8700,-1.7,21.8,23049,92.7,16,Trump
"Blackford, indiana",12401,-2.9,77.3,20322,96.2,9.8,Trump
"Boone, indiana",61915,9.3,133.9,37482,92.5,41,Trump
"Brown, indiana",14962,-1.8,48.9,25833,96.1,21.1,Trump
"Carroll, indiana",19923,-1.2,54.1,24531,94.4,16,Trump
"Cass, indiana",38438,-1.4,94.5,21700,82.3,13.7,Trump
"Clark, indiana",114262,3.7,295.6,24312,84.6,18.9,Trump
"Clay, indiana",26562,-1.2,75.2,21474,96.7,14,Trump
"Clinton, indiana",32776,-1.3,82,21554,83.9,13,Trump
"Crawford, indiana",10655,-0.5,35.1,20504,96.4,12.1,Trump
"Daviess, indiana",32729,3.4,73.7,21416,93,12.4,Trump
"Dearborn, indiana",49506,-1.1,164.1,27058,96.5,17.6,Trump
"Decatur, indiana",26524,3,69.1,22046,95.6,13.7,Trump
"DeKalb, indiana",42383,0.4,116.4,22827,95.3,16.3,Trump
"Delaware, indiana",117074,-0.5,300.1,20854,87.7,22.5,Trump
"Dubois, indiana",42345,1.1,98,25589,91.9,18.9,Trump
"Elkhart, indiana",201971,2.2,426.5,21109,76.3,18.2,Trump
"Fayette, indiana",23468,-3.4,112.9,18757,96,8.9,Trump
"Floyd, indiana",76179,2.1,504.1,27185,88.8,22.6,Trump
"Fountain, indiana",16658,-3.4,43.6,23063,95.6,11.9,Trump
"Franklin, indiana",22934,-0.7,60.1,24085,97.6,18.1,Trump
"Fulton, indiana",20500,-1.6,56.6,21226,92.4,12.7,Trump
"Gibson, indiana",33759,0.8,68.7,24258,94.3,16.1,Trump
"Grant, indiana",68569,-2.1,169.2,20516,85.8,16.8,Trump
"Greene, indiana",32726,-1.3,61.1,22235,97,12.1,Trump
"Hamilton, indiana",302623,10.2,696.4,39521,85.3,55.1,Trump
"Hancock, indiana",71978,2.8,228.8,28111,93.6,26.3,Trump
"Harrison, indiana",39299,-0.2,81.2,23244,96.1,14.9,Trump
"Hendricks, indiana",156056,7.3,357.4,29830,86.9,32.2,Trump
"Henry, indiana",48995,-0.9,126.2,20309,94.1,14.9,Trump
"Howard, indiana",82982,0.3,282.4,24071,86.3,20,Trump
"Huntington, indiana",36706,-1.1,97,22601,95.7,16.9,Trump
"Jackson, indiana",43705,3.1,83.2,22568,90.3,14.5,Trump
"Jasper, indiana",33475,0,59.8,24297,92,14.9,Trump
"Jay, indiana",21179,-0.3,55.4,19236,95.4,10,Trump
"Jefferson, indiana",32494,0.2,89.9,21524,93.6,17.8,Trump
"Jennings, indiana",28000,-1.8,75.7,20109,95.4,9.6,Trump
"Johnson, indiana",147538,5.5,435.8,28575,91.2,26.8,Trump
"Knox, indiana",37938,-1.3,74.5,21047,93.3,14.1,Trump
"Kosciusko, indiana",78564,1.6,145.6,24881,89,20.3,Trump
"LaGrange, indiana",38436,3.5,97.8,19356,94.6,10.3,Trump
"Lake, indiana",490228,-1.2,994.1,23918,54.8,19.8,Clinton
"LaPorte, indiana",111444,0,186.3,22852,80.6,17.3,Trump
"Lawrence, indiana",45704,-0.9,102.7,22169,96.1,13.7,Trump
"Madison, indiana",130069,-1.2,291.3,21527,85.9,16.7,Trump
"Marion, indiana",934243,3.4,2279.6,24124,58.4,27.4,Clinton
"Marshall, indiana",47107,0.1,106.1,21933,88.4,16.6,Trump
"Martin, indiana",10203,-1.7,30.8,22817,97.5,10.8,Trump
"Miami, indiana",35954,-2.6,98.7,20475,90,10.6,Trump
"Monroe, indiana",143339,3.9,349.7,23032,85.2,43.4,Clinton
"Montgomery, indiana",38146,0.1,75.6,22679,92.5,17.8,Trump
"Morgan, indiana",69693,1.1,170.5,25781,96.3,16.1,Trump
"Newton, indiana",14156,-0.6,35.5,25594,92.3,8.5,Trump
"Noble, indiana",47618,0.2,115.7,21889,87.9,13.2,Trump
"Ohio, indiana",6035,-1.5,71.1,25443,97,13.1,Trump
"Orange, indiana",19626,-1.1,49.8,18576,95.8,12.6,Trump
"Owen, indiana",20969,-2.8,56,21318,96.6,11,Trump
"Parke, indiana",17233,-0.7,39,20534,94.9,13.7,Trump
"Perry, indiana",19454,0.6,50.7,20934,94.3,10.9,Trump
"Pike, indiana",12624,-1.7,38.4,22245,97.1,11.2,Trump
"Porter, indiana",167076,1.7,393,28669,84.6,25.4,Trump
"Posey, indiana",25540,-1.4,63.3,29187,96.6,20.5,Trump
"Pulaski, indiana",12967,-3.2,30.9,21641,94.8,13.1,Trump
"Putnam, indiana",37618,-0.9,79,21520,92.2,16.2,Trump
"Randolph, indiana",25384,-3,57.9,21592,94.6,12.4,Trump
"Ripley, indiana",28497,-1.1,64.6,22059,96.3,15.9,Trump
"Rush, indiana",16892,-2.9,42.6,23396,96.5,15.1,Trump
"Scott, indiana",23712,-1.9,127,20481,96.4,11.5,Trump
"Shelby, indiana",44579,0.4,108.1,24459,93,14.8,Trump
"Spencer, indiana",20801,-0.7,52.8,23641,95.3,15.5,Trump
"St. Joseph, indiana",267618,0.3,583,23509,74.7,26.5,Clinton
"Starke, indiana",23074,-1.2,75.6,19773,94.7,12.3,Trump
"Steuben, indiana",34308,0.4,110.7,23975,94.4,19.4,Trump
"Sullivan, indiana",21050,-2,48,19821,92.2,13.2,Trump
"Switzerland, indiana",10452,-1.5,48.1,20019,96.8,9.9,Trump
"Tippecanoe, indiana",183074,6,345.7,23691,78.9,35.7,Trump
"Tipton, indiana",15415,-3.3,61.2,25093,95.7,16.4,Trump
"Union, indiana",7246,-3.6,46.6,20883,96.2,18.4,Trump
"Vanderburgh, indiana",182006,1.3,769.7,24378,84.7,22.6,Trump
"Vermillion, indiana",15693,-3.2,63.1,22875,97.2,13,Trump
"Vigo, indiana",108175,0.3,267.4,21192,86.1,21.2,Trump
"Wabash, indiana",32252,-1.9,79.7,21201,94.9,17,Trump
"Warren, indiana",8352,-1.8,23.3,27390,97.1,16,Trump
"Warrick, indiana",61149,2.4,155.1,29927,93.6,27.2,Trump
"Washington, indiana",27878,-1.4,55,21370,97.2,11.9,Trump
"Wayne, indiana",67671,-1.9,171.5,21114,88.8,17.4,Trump
"Wells, indiana",27862,0.8,75.1,24269,95.6,15.7,Trump
"White, indiana",24453,-0.8,48.8,23666,90.2,15.4,Trump
"Whitley, indiana",33403,0.3,99.2,24613,95.9,16.7,Trump
"Adair, iowa",7454,-3,13.5,25564,97.2,16.3,Trump
"Adams, iowa",3875,-3.8,9.5,23707,97,13.7,Trump
"Allamakee, iowa",14038,-2,22.4,24926,91.5,14.9,Trump
"Appanoose, iowa",12661,-1.8,25.9,21599,96.2,18.3,Trump
"Audubon, iowa",5794,-5.3,13.8,30919,97.5,16.6,Trump
"Benton, iowa",25680,-1.5,36.4,26624,97,18.8,Trump
"Black Hawk, iowa",132897,1.4,231.7,24273,83.2,25.3,Clinton
"Boone, iowa",26433,0.5,46,27149,95,20.3,Trump
